content,score
"aplikasi jelek, pas zaman nya covid pernah daftar, tp skrng mau masuk lagi malah data nya ilang, cuma email dan nomor hp yang masih terverifikasi, giliran udah masuk cek profil malah kosong, data nya, mau di perbaharui gak bisa",1
"Haduh,, aplikasi pemerintah lagi. Apresiasi ada aplikasinya. Tapi mau login aja berjam-jam cuman masukin pin doang. Ini sinyalnya harus 5G dulu apa gimana baru bisa login! Sudah banyak yang komplain loh, sampai rating 3, gini masa ngga ada perbaikan.",1
"admin, saya tidak bisa masuk ke aplikasi, ngestuck di tampilan pilih tema, dan ga bis pilih lanjut atau pun batal, muncul keterangan 'terjadi gangguan' silahkan hubungi helpdesch, sudah pake wifi maupun kuota pribadi dan ganti jaringan.",4
"apk nya banyak bug, mau edit profil udh ditunggu lama tetep layar blank abu abu.... tolong diperbaiki ya....ini program udh bagus, jgn kecewakan masyarakat dong... :(((((((( update : harus wa nan dulu sama adminya baru bisa 👍🏾🥲🥲🥲🥲🥲🥲",4
"kenapa ya setiap mau donwload sertifikat vaksin selalu gak bisa, padahal memori internal masih banyak yang kosong. udh dicoba reinstall juga tetep gak bisa. butuh sertifikat buat kerjaan ini, tolong dong developer diperbaiki bug nya",2
"saya sudah #CKG tapi belum ada hasil di aplikasi satu sehat,padahal di puskesmas sudah ada hasil #CKG nya.. +baru saja kemarin verifikasi akun profil aplikasi satu sehat di puskesmas,tapi hari ini justru malah tak muncul akun saya. &disaat mau memilih jenis kelamin untuk disimpan,tapi tak bisa verifikasi lewat email/whatsapp(padahal kode nya sudah masuk di email/whatsapp). harap perbaiki.terimakasih",2
"Sesuai dugaan, aplikasi pemerintah memang sangat tidak layak. Setiap buka aplikasi harus log in ulang dan setiap saya menginput PIN selalu salah, tidak peduli berapa juta kali pun saya input tetap saja sistem menyatakan salah dan itu benar-benar menjengkelkan. Saya bertanya-tanya mengapa aplikasi pemerintah begitu buruk sekali? Bahkan saya menduga bahwa mungkin saja mereka menyewa developer magang sehingga hasilnya jauh sekali dari kata bagus! SEMOGA TERSAMPAIKAN dan TOLONG PERBAIKI APLIKASINYA!",1
"sudah checkup gratis hasilnya lama, sekarang malah profil nya berubah jadi kosong karena NIK tidak ditemukan. Diinstal ulang tetep seperti itu. Gimana ini?saya kan butuh hasil kemaren",1
"Aplikasi nasional ko lemot banget, punya orang IT canggih canggih kan pasti, suruh pada kerja benerin nih aplikasi, email verifikasi masuk, tapi tampilan pin di aplikasi nya ga mau masuk masuk, aneh.",1
"yang buatin aplikasi pemerintah siapa ya? perasaan gak ada yang bener aplikasinya. loading lama gajelas apa yang di proses, tampilan kurang, udah log in tapi data tidak tertera. Malu ga sih? ini aplikasi pemerintah loh, bukan aplikasi uji coba ecek"" buatan.",1
"Setelah update, profil akun jadi hilang. Coba edit isi profil akun lagi laman langsung blank no respon. Aplikasi pemerintah kenapa gak pernah ada yang beres ya ? Kalau gak menyulitkan pasti menyengsarakan",1
"Apakah setiap aplikasi pemerintahan selalu begini? app ga bisa d akses dengan baik, bug dmna2, data2 profil ilang. sy yakin anggaran buat app gini ga murah dan pakai uang rakyat, Programnya sangat bagus, tp akses appnya sangat buruk",1
"mohon bantuannya aplikasi nya ngebug, ketika kirim kode lewat email. kodenya sih sudah terkirim, tetapi di aplikasi nya tidak berubah sama sekali. alias menu untuk masukin kode nya tidak ada, terus gimana??? Mohon bantuannya tetap tidak bisa login!!",1
aplikasi tidak bekerja dengan baik apa duit untuk membuat aplikasi ini di korupsi juga .? sudah bolak balik instal dan uninstal tapi tetap sama tidak bisa login masuk. hanya stuck di halaman memasukan email. padahal ada email masuk untuk kode otp ? jadi fungsinya kode otp ygdi kirim ke email itu untuk digunakan dimana ?,1
"sepertinya masih sering mengalami bug, saya sudah isi profile lengkap tetapi tidak bisa di simpan. dan tidak bisa klik jemis kelamin mohon untuk diperbaiki bugnya, terima kasih",3
"Suruh masukin kode verifikasi lewat email, udah dimasukin kodenya, udah sama persis seperti yang dikirim ke email tapi malah salah, lagian saya ga naro pin buat masuk kok jadi ada pinnya, ini gimana maksudnya sih?",1
"TOLONG DONG BENERIN APLIKASINYA!! Saya mau masuk ke aplikasinya malah GK bisa karena nge stuck di bagian pilih Tema, Padahal sudah saya pilih masih aja GK bisa!!Tolong BENERIN biar GK susahin orang!!!Orang mau ngecek kesehatan malah dibikin ribet sama aplikasinya...AYO DONG PEMERINTAH!!!",1
"Masuk aplikasi aja susah, pin udah bener masih aja salah, pas minta ganti pin verifikasi yang dikirim lewat email dimasukin udah bener masih aja kebaca salah, emang pemerintah kalo bikin aplikasi rata rata gak pernah bener. ini mah namanya ngabisin anggaran doang bikin aplikasi yang penting jadi, gak peduli berfungsi apa engga.",2
"tidak bisa login, saat login menggunakan email, tidak masuk ke halaman verifikasi, sehingga kode verifikasi yang sudah terkirim tidak bisa digunakan, sudah coba di 3 smartphone berbeda hasilnya tetap sama, sudah menghubungi website kemenkes mengenai masalah ini tapi tidak ada respon, bagaimana solusinya? jangan hanya menyuruh menghubungi web kemenkes lagi, percuma saja kalau tidak ada respon.",1
"Kl aplikasi blm siap jgn dilempar dl ke masyarakat. Pertama masuk gak bisa sdh dicoba berkali-kali katanya ada gangguan, hub helpdesk. Pas besoknya bisa masuk, mau pilih tema gak bisa jg, katanya gangguan, hub helpdesk. Ini apa sih kok disuruh tanya terus ke helpdesk. Mau kembali ke hal sblmnya jg gak bisa",1
Aplikasi ga jelas masukin email sudah dapet balasan email dan dapat kode verifikasinya namun interfacenya tetap di input email gmana sih algoritmanya aplikasi ini nyesel w download udah sampe 3 kali hapus lagi,1
"ini kenapa malah nge stuck di pilih tema, udh di pilih tema default malah ada keterangan gagal mulu malah disuruh hubungi helpdesk nya hadehhh. edit : Alhamdulillah aplikasi sudah berjalan dengan baik lagi, saat login ulang tadi udh ga nge stuck lagi di bagian pemilihan tema nya dan desain nya jadi lebih bagus setelah update. mantap 👍🏻👍🏻👍🏻",5
"aplikasi kurang jelas,, setelah data di masukan harus nunggu sekitar 3 hari baru muncul sertifikasi vaksin nya, lalu saat ada pembaruan aplikasi malah hilang lagi , balik lagi jadi belum vaksin lagi , apakah nunggu 3 hari lagi? seharus nya ga usah ada pembaharuan kalau begitu.. tolong kembangkan lagi",1
"susah banget ya mau daftar doang di suru pilih jenis kelamin pas di klik gak bisa di simpan malam tidak boleh kosong, udh dari tgl 1 bulan mei ini dicoba masih gitu juga gak niat bener",1
"dua tahun lalu gua mau cek gua punya sertifikat vaksin masih bisa waktu namanya masih peduli lindungi, giliran sekarang lagi butuh, pas mau nge cek lagi di situ tertera BELUM VAKSIN, gimana sih kok bisa ga kebaca?masa gua harus vaksin lagi? benerin lahhh ngapain coba namanya di ganti"" segala bikin bingung doang waktu nyari aplikasi nya iya aja kalo bagus lah ini apaan khas aplikasi pemerintah banget, banyak bug nya kalo bagus mah ga bakal 3,4 rating bintangnya satt lah",1
"maaf sebelumnya saya mau cek kartu vaksin tapi lupa akun dan harus masukan nomor telepon yang terdaftar sedangkan pada saat itu saya enggak mempunyai ponsel dan semua diatur oleh orang tua saya, tapi mau memasukannya lagi lupa akun harus gunakan nomor telepon yang terdaftar sedangkan nomor tersebut sudah sangat lama dan tidak tau nomornya,apakah bisa dipermudah seperti harus masuk kk atau nik data diri karena ini diperlukan untuk pekerjaan",5
aplikasinya stuck loading terus kalo mau pilih salah satu fitur.. ayo dong pengembang aplikasinya ditingkatkan lagi kinerja aplikasinya biar WNI bisa pakai dengan nyaman dan menikmati layanannya,3
"mau login aja susaaaahhh nya minta ampun, jaringan selular sudah bagus, pakai wifi pun masih sama. niat mau mempermudah malah menambah kerepotan!",1
"aplikasi apaan sudah login aja muter-muter terus, tolong dong di cek lagi aplikasi nya. aplikasi belum siap di pakai sudah di keluarin. aplikasi pemerintah selalu kusut terus kacau, dana aplikasi aja gede banget buat bikin aplikasi nya tapi kenyataan nol besar, kusut banget",1
"parahhh ni aplikasi bikin pusing aja, pas mau masuk kan suruh masukin pin nah udah kumasukin katanya salah, oke aku ganti pin ku keluar lagi nyoba masuk eehhh tetep salah lagi.. gila apa ya ibaratnya baru sedetik tadi aku ganti yakali aku lupa pin sampai salah!!! ini gimana sih diperbaiki donggg mau akses masuk aja ribet bener",1
"apk rusak! verifikasi pin udah bener dibilang salah, masukin kode notifikasi yang dikirim dari email udah diketik bener tetep aja salah juga, ini aplikasinya yang rusak atau apa si",1
"sdh instal dan isi data dgn benar trus sampe di halaman kode verifikasi. Tunggu kode di kirim ke WA ga masuk2 trus diulang minta kode verifikasi sampe 5x msh ga ada masuk ke WA sy, ini maksudnya apa? bikin aplikasi yg bener dan sewa server yg dedicated, biar ga bikin malu dan memuaskan user (Kemenkes RI) dan pemakai aplikasi.",1
"aplikasi bobrok masak mau masuk saja susah harus pakai tema, sudah di pilih pakai tema semua tidak bisa alasan""anda tidak memiliki tema""? aneh girilan di skip pakai tema tetap juga hal yang sama muncul.",1
